CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75
Residential,1,BLN,BELTLINE,CENTRE,BUILT-OUT,CENTRE CITY,2016,,21958,17323,1162,0,15363,4320,936,1315,6363,1181,1035,319,8425,77,6,7,16725,373,0,53,6,58,3,0,0,15,0,151,13001,4112,20617,1820,1732,21,2,37,1,65,11,0,3,0,6,2,12,0,0,0,0,0,0,0,0,0,0,0,6,1,8,1,0,0,7,33,2,522,10,14,18,5,334,183,615,33,0,1,12,51,19,119,12,0,2,82,6818,5591,781,252,24,11855,10103,560,202,157,811,5065,2413,1161,855,443,188,529,211,169,896,4405,1615,841,637,446,354,1089,413,326,1707,9470,4028,2002,1492,889,542
Residential,1,HUN,HUNTINGTON HILLS,NORTH,BUILT-OUT,1960s/1970s,2016,,13497,5596,993,0,6815,3175,1552,970,3196,870,189,75,1266,2957,558,8,526,1191,126,227,0,0,0,0,0,3,0,0,508,111,825,18,0,0,0,156,9,298,48,0,23,1,529,201,1486,28,0,0,0,121,109,202,5,0,0,0,6,0,14,2,0,0,0,3,0,8,0,0,0,1,1130,296,2873,58,0,2,0,2911,2449,7791,43,1,2,3,1197,2052,969,985,161,6762,6735,413,711,356,424,1032,970,1108,852,517,379,416,669,307,356,932,975,1111,881,591,497,829,1380,663,780,1964,1945,2219,1733,1108,876
Residential,1,GRV,GREENVIEW,CENTRE,BUILT-OUT,1960s/1970s,2016,,1977,1120,162,0,1188,396,176,161,485,115,47,9,464,207,30,0,511,309,0,63,0,0,0,0,0,0,0,1,471,115,759,33,1,5,0,32,1,51,30,1,0,1,26,6,68,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,137,673,15,0,5,0,192,137,426,12,2,1,0,409,378,124,89,10,1031,946,65,39,26,68,279,192,152,106,56,48,82,62,31,79,214,148,126,89,66,49,147,101,57,147,493,340,278,195,122,97
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,BUILT-OUT,CENTRE CITY,2016,,8758,5661,637,0,5182,352,174,420,2202,384,407,138,2530,1,0,1,5627,20,0,0,0,0,0,1,0,11,0,78,4858,345,8440,461,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,278,5,0,0,0,18,7,40,2,0,0,0,0,0,0,1,0,0,12,2290,1859,503,217,14,4564,4194,289,166,65,316,1458,1048,538,357,181,146,273,153,66,396,1493,758,361,258,200,236,562,319,131,712,2951,1806,899,615,381,382
Residual Sub Area,4,12A,12A,SOUTHEAST,N/A,OTHER,2016,,109,54,4,0,65,40,37,10,16,7,4,2,25,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,40,105,2,0,0,0,8,19,14,5,0,60,49,2,3,5,4,7,4,13,10,8,4,1,3,2,2,6,7,7,14,6,1,3,6,7,6,13,11,20,24,14,5
Residual Sub Area,4,14U,14U,SOUTH,N/A,OTHER,2016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01D,01D,WEST,N/A,UNDEVELOPED,2016,Y,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09D,09D,CENTRE,N/A,OTHER,2016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02E,02E,NORTHWEST,N/A,OTHER,2016,,1040,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,953,87,0,3,48,240,487,90,50,35,0,0,0,1,9,31,30,11,5,0,0,0,0,4,57,271,517,101,55,35,0,0
Residual Sub Area,4,09N,09N,SOUTHEAST,N/A,UNDEVELOPED,2016,Y,0,2,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12F,12F,SOUTHEAST,N/A,UNDEVELOPED,2016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12C,12C,SOUTHEAST,N/A,UNDEVELOPED,2016,,123,43,7,0,65,33,31,10,23,6,3,2,9,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,120,0,0,0,0,3,19,9,10,2,61,62,3,7,2,4,5,9,11,15,2,3,4,6,5,2,7,6,15,11,3,3,7,13,7,6,12,15,26,26,5,6
Residual Sub Area,4,05C,05C,NORTHEAST,N/A,OTHER,2016,Y,0,6,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09H,09H,EAST,N/A,OTHER,2016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MOP,MOUNT PLEASANT,CENTRE,BUILT-OUT,INNER CITY,2016,,5671,2803,520,0,3382,1454,625,383,1340,328,203,52,880,1456,662,15,160,92,0,385,0,32,1,0,0,0,0,3,127,30,207,6,24,0,0,288,19,460,58,0,39,0,601,426,1552,49,10,2,0,0,0,0,0,0,0,0,15,8,34,0,0,0,0,26,22,45,7,0,0,0,84,70,118,8,0,0,4,1371,879,3255,66,15,0,33,660,1067,395,365,25,2940,2731,240,248,68,171,632,632,411,345,142,51,207,225,73,170,652,564,349,279,126,86,447,473,141,341,1284,1196,760,624,268,137
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,1950s,2016,,385,164,33,0,193,127,68,21,91,23,4,12,34,161,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,127,383,10,2,0,0,28,58,36,26,3,188,197,11,27,11,3,16,38,26,28,15,13,16,23,10,11,14,36,25,25,19,18,27,50,21,14,30,74,51,53,34,31
Residential,1,TUS,TUSCANY,NORTHWEST,BUILT-OUT,2000s,2016,,19662,6513,2040,0,9601,5798,2512,914,3854,1332,429,226,672,5480,110,0,523,389,0,11,0,0,0,0,0,0,0,2,502,411,786,19,0,0,0,8,1,14,2,0,1,1,107,101,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,268,733,21,0,0,2,5415,5017,17916,58,3,2,0,803,1641,1282,2485,187,9699,9963,853,2033,594,405,1020,1998,1556,645,389,206,742,1961,627,398,1170,2223,1470,728,385,259,1595,3994,1221,803,2190,4221,3026,1373,774,465
Residential,1,CHW,CHARLESWOOD,NORTHWEST,BUILT-OUT,1950s,2016,,3639,1485,222,0,1790,1118,426,195,915,193,63,33,281,1294,34,0,119,0,0,38,0,0,0,0,0,0,0,1,108,0,148,10,0,0,0,30,0,59,8,0,0,0,32,13,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1263,1105,3351,24,1,5,0,316,518,256,317,26,1883,1756,108,201,89,189,267,234,248,258,138,151,73,167,84,146,221,256,237,242,147,183,181,368,173,335,488,490,485,500,285,334
Residential,1,CED,CEDARBRAE,SOUTH,BUILT-OUT,1960s/1970s,2016,,6177,2609,476,0,3243,1889,866,510,1456,520,180,39,414,1335,569,0,163,514,0,28,0,0,0,0,0,0,0,0,155,31,312,6,0,2,0,23,0,45,3,0,2,2,547,359,1361,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,324,1030,29,0,2,1,1316,1175,3429,14,0,4,0,553,991,504,426,50,3052,3125,207,352,131,175,462,496,395,418,278,138,181,325,139,153,443,445,482,474,333,150,388,677,270,328,905,941,877,892,611,288
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,BUILT-OUT,1960s/1970s,2016,,921,496,27,0,454,438,277,175,291,47,19,10,129,1,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,473,438,921,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175,209,46,38,5,463,458,12,25,30,13,46,65,69,103,69,31,12,31,31,22,40,53,75,99,70,25,24,56,61,35,86,118,144,202,139,56
Residential,1,PUM,PUMP HILL,SOUTH,BUILT-OUT,1960s/1970s,2016,,1671,561,59,0,570,415,106,26,312,67,29,88,65,382,50,0,61,66,0,0,0,0,0,2,0,0,0,0,60,0,69,1,0,0,0,0,0,0,0,0,0,0,48,48,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,326,0,0,0,0,58,0,83,8,0,0,0,377,367,1110,4,1,0,2,131,213,80,101,20,785,886,23,65,42,39,35,49,84,126,118,204,18,71,27,35,41,64,95,135,127,273,41,136,69,74,76,113,179,261,245,477
Residential,1,CGR,COUGAR RIDGE,WEST,DEVELOPING,2000s,2016,,7015,2205,920,0,3281,1978,685,229,1075,384,168,249,329,1906,92,0,0,205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,0,0,0,92,79,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,148,436,3,0,0,2,1883,1750,6311,20,1,0,0,190,494,573,837,83,3461,3554,369,723,199,160,405,728,531,229,93,24,350,652,222,145,508,814,525,229,87,22,719,1375,421,305,913,1542,1056,458,180,46
Residential,1,SIL,SILVER SPRINGS,NORTHWEST,BUILT-OUT,1960s/1970s,2016,,8875,3532,615,0,4592,2867,1231,545,2152,614,176,84,506,2550,210,0,240,514,0,18,0,0,0,0,0,0,0,0,212,1,451,28,0,0,0,17,3,33,1,0,0,0,207,130,551,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,372,1049,19,0,0,0,2514,2361,6791,35,1,0,0,615,1386,623,757,64,4433,4442,279,480,280,290,515,570,610,672,520,217,233,457,221,253,512,567,664,773,553,209,512,937,501,543,1027,1137,1274,1445,1073,426
Residential,1,HIL,HILLHURST,CENTRE,BUILT-OUT,INNER CITY,2016,,6737,3110,546,0,3073,1292,509,362,1541,229,173,51,1116,1005,298,100,1450,101,0,145,1,3,2,1,0,4,0,8,1114,288,1805,46,77,205,0,123,9,204,15,0,7,0,270,217,716,20,8,0,0,0,0,0,0,0,0,0,96,5,123,3,1,1,0,10,2,1301,1,0,0,2,87,40,178,5,7,0,3,948,731,2410,43,10,1,11,916,1058,358,298,18,3287,3450,245,280,216,530,659,480,347,334,144,52,229,231,325,442,779,516,374,334,153,67,474,511,541,972,1438,996,721,668,297,119
Residential,1,GDL,GLENDALE,WEST,BUILT-OUT,1950s,2016,,2809,1120,196,0,1470,851,392,157,684,186,63,39,148,959,0,0,108,24,0,29,0,0,0,0,0,0,0,0,106,1,168,2,0,0,0,27,3,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,45,0,0,0,2,936,826,2544,20,0,1,0,258,343,221,248,23,1427,1382,88,162,95,84,167,220,208,231,97,75,80,158,65,72,180,191,216,233,91,96,168,320,160,156,347,411,424,464,188,171
Residential,1,BRI,BRIDLEWOOD,SOUTH,BUILT-OUT,2000s,2016,,12711,4208,1243,0,6660,3327,1316,615,2011,1201,245,152,599,2863,305,3,792,205,0,40,0,0,0,0,0,0,0,0,754,420,1664,38,0,0,0,36,8,94,4,0,0,0,305,273,748,0,0,0,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,196,149,555,9,0,0,1,2820,2475,9642,42,0,0,0,581,1098,912,1261,262,6275,6436,484,1077,388,336,997,1276,923,474,231,89,512,1062,372,315,1081,1306,889,521,283,95,996,2139,760,651,2078,2582,1812,995,514,184
Residential,1,WBN,WOODBINE,SOUTH,BUILT-OUT,1980s/1990s,2016,,8998,3372,537,0,4614,3017,1299,604,2115,691,193,77,296,2932,82,0,0,342,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,36,2,0,0,0,81,59,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,246,740,8,0,0,1,2891,2709,8023,38,1,1,0,416,1360,721,730,93,4535,4463,238,502,295,297,517,527,669,867,486,137,193,499,229,221,516,583,724,912,432,154,431,1001,524,518,1033,1110,1393,1779,918,291
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,DEVELOPING,BUILDING OUT,2016,,18124,7145,2038,0,9963,5587,2842,1274,3651,1363,525,190,1416,3665,639,0,1494,1246,0,16,0,0,83,2,0,0,0,0,1414,916,2451,80,0,0,0,16,4,34,0,0,0,0,629,518,1601,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,8,371,11,1,1,1,1200,918,2406,44,0,1,0,3609,3223,11261,54,0,2,85,1548,2357,1344,1523,167,8894,9230,840,1291,395,395,1906,1874,1052,613,336,192,855,1231,380,387,1933,1834,1041,716,455,398,1695,2522,775,782,3839,3708,2093,1329,791,590
Residential,1,HID,HIDDEN VALLEY,NORTH,BUILT-OUT,1980s/1990s,2016,,11869,3874,867,0,6466,3444,1492,614,2420,835,213,102,304,3443,132,0,0,274,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,77,1,0,0,0,129,107,275,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269,219,598,4,0,0,1,3406,3107,10919,36,0,0,0,394,1093,843,1327,171,6037,5832,359,925,555,376,715,850,1169,673,309,106,334,845,488,309,663,979,1166,640,288,120,693,1770,1043,685,1378,1829,2335,1313,597,226
Residential,1,DNW,DOWNTOWN WEST END,CENTRE,BUILT-OUT,CENTRE CITY,2016,,2344,1937,111,0,1477,542,70,72,590,116,45,15,1171,3,0,0,1931,0,0,0,0,0,1,0,0,2,0,38,1398,541,2326,175,319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,697,536,114,51,3,1281,1063,45,39,18,56,383,257,181,159,103,40,52,39,12,67,363,154,144,131,70,31,97,78,30,123,746,411,325,290,173,71
Residential,1,TAR,TARADALE,NORTHEAST,DEVELOPING,2000s,2016,,18852,5092,2241,0,8494,3412,650,382,2601,776,246,204,1265,3309,212,0,391,438,0,742,0,0,0,0,0,0,0,0,363,167,1060,28,0,0,1,460,58,1330,204,1,76,0,205,168,786,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,430,322,1423,7,0,0,0,3246,2697,14253,61,1,1,0,309,680,848,2008,859,9546,9306,929,1688,684,540,1857,1634,1102,633,362,117,910,1527,582,528,1925,1726,971,646,363,128,1839,3215,1266,1068,3782,3360,2073,1279,725,245
Residential,1,RUN,RUNDLE,NORTHEAST,BUILT-OUT,1960s/1970s,2016,,11733,3839,1078,0,5376,2173,771,545,1825,552,109,105,1248,2225,173,0,0,1111,0,329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,10,509,67,2,28,0,163,121,415,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,3,1058,308,3278,50,0,0,0,2182,1733,7525,34,7,2,1,453,1035,764,1025,358,6007,5726,440,775,396,419,959,1046,742,625,446,159,444,734,389,375,952,909,687,620,419,197,884,1509,785,794,1911,1955,1429,1245,865,356
Residential,1,UNI,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,1960s/1970s,2016,,2876,1373,200,0,1303,409,222,178,576,80,167,84,466,431,40,0,874,12,0,15,0,0,1,0,0,0,0,4,836,18,1554,34,0,0,0,10,0,21,5,0,0,0,36,4,122,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,12,0,45,0,0,0,0,414,387,1132,15,2,0,1,378,557,190,169,15,1460,1416,88,89,56,221,415,173,120,136,75,87,83,102,52,218,346,169,140,134,93,79,171,191,108,439,761,342,260,270,168,166
Residential,1,SSD,SUNNYSIDE,CENTRE,BUILT-OUT,INNER CITY,2016,,3990,2575,182,0,2774,826,281,289,1297,202,168,48,860,500,45,18,1735,185,0,87,0,3,0,0,0,2,0,2,1565,418,2372,103,65,0,1,57,3,83,20,1,8,0,44,27,105,1,0,0,0,0,0,0,0,0,0,0,15,7,31,3,0,0,1,3,0,7,1,0,0,1,167,78,371,15,2,0,4,460,293,1021,33,3,0,5,1069,953,182,98,9,1955,2035,71,85,35,132,762,356,197,206,85,26,94,88,38,183,796,324,214,160,83,55,165,173,73,315,1558,680,411,366,168,81
Residential,1,CAP,CAPITOL HILL,CENTRE,BUILT-OUT,1950s,2016,,4565,2344,415,0,2542,833,421,333,1051,199,158,37,899,890,552,8,433,46,0,413,0,0,0,1,1,0,0,1,387,16,564,35,10,0,1,312,7,534,68,0,32,1,502,281,1317,36,13,0,0,0,0,0,0,0,0,0,4,4,8,0,4,4,0,2,0,67,0,0,0,0,43,18,107,3,0,0,10,839,507,1968,40,1,0,2,658,814,339,262,16,2350,2215,195,167,51,239,608,401,287,207,139,56,171,161,56,237,543,405,231,195,136,80,366,328,107,476,1151,806,518,402,275,136
Residential,1,BNK,BANKVIEW,CENTRE,BUILT-OUT,INNER CITY,2016,,5158,3538,271,0,3486,927,551,518,1275,269,159,53,1782,510,94,42,2445,239,0,207,0,0,1,0,0,0,0,25,2202,474,3176,216,0,2,8,153,7,223,36,2,8,0,81,36,170,9,4,0,0,0,0,0,0,0,0,0,39,4,61,3,0,0,0,1,0,9,0,0,0,1,212,111,411,21,5,0,5,476,295,1108,25,2,2,1,1721,1087,216,130,10,2692,2466,122,92,38,185,1004,632,303,206,78,32,114,94,32,229,1023,477,194,173,87,43,236,186,70,414,2027,1109,497,379,165,75
Residential,1,MON,MONTGOMERY,NORTHWEST,BUILT-OUT,1950s,2016,,4358,1950,347,0,2274,1020,614,371,1089,197,64,31,569,1018,473,1,131,108,0,206,0,5,1,2,0,5,0,0,122,26,171,9,0,0,1,155,16,294,43,0,7,1,436,278,1120,26,10,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,10,0,328,3,0,0,0,100,36,271,4,4,0,4,942,663,2172,60,12,0,13,499,667,315,251,34,2176,2182,163,163,56,182,483,360,269,229,121,150,139,151,67,147,445,349,237,211,126,310,302,314,123,329,928,709,506,440,247,460
Residential,1,CLI,CLIFF BUNGALOW,CENTRE,BUILT-OUT,INNER CITY,2016,,1925,1357,60,0,1436,333,139,180,678,86,73,28,492,164,18,9,945,77,0,142,0,0,0,0,0,2,0,2,870,218,1247,72,0,1,2,116,6,156,18,0,6,0,17,5,33,1,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,2,0,45,0,0,0,0,65,29,106,6,6,0,4,143,75,325,16,0,1,2,705,413,71,31,2,921,1004,28,17,16,48,407,192,87,61,47,18,26,16,9,80,513,164,81,55,38,22,54,33,25,128,920,356,168,116,85,40
Residential,1,RIV,RIVERBEND,SOUTHEAST,BUILT-OUT,1980s/1990s,2016,,9430,3463,549,0,5571,3077,1626,661,1873,725,294,125,446,3250,42,0,0,150,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,5,34,2,0,1,0,40,38,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,131,260,3,0,0,2,3183,2903,9061,49,10,6,0,429,1241,806,804,106,4760,4670,236,441,346,362,544,700,850,840,328,113,238,405,323,305,542,643,958,805,307,144,474,846,669,667,1086,1343,1808,1645,635,257
Residential,1,HAR,HARVEST HILLS,NORTH,BUILT-OUT,1980s/1990s,2016,,7568,2583,500,0,4127,2178,949,398,1135,761,217,53,417,2095,106,0,165,182,1,33,0,0,0,1,0,0,0,2,150,115,258,13,0,0,0,27,2,65,5,0,1,0,103,93,177,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,177,141,373,5,0,0,0,2073,1827,6635,22,0,0,1,340,761,571,740,119,3809,3759,197,483,327,315,409,548,710,469,237,114,209,441,262,245,402,594,731,479,260,136,406,924,589,560,811,1142,1441,948,497,250
Residential,1,CHN,CHINATOWN,CENTRE,BUILT-OUT,CENTRE CITY,2016,,2104,1606,64,0,1067,348,34,24,504,57,67,24,954,0,0,0,1585,7,0,0,14,0,0,0,0,0,0,18,1410,342,2087,125,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,6,0,0,0,6,6,9,1,0,0,0,0,0,0,0,0,0,14,868,462,69,24,1,1038,1066,29,17,15,43,271,179,133,99,73,179,26,21,21,36,214,143,120,92,74,319,55,38,36,79,485,322,253,191,147,498
Residential,1,TEM,TEMPLE,NORTHEAST,BUILT-OUT,1960s/1970s,2016,,11142,3682,992,0,5347,2554,1093,618,2104,669,184,88,637,2301,608,0,117,424,0,231,0,0,1,0,0,0,0,0,104,0,253,13,0,0,0,173,15,377,37,0,21,0,592,364,1847,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,415,264,1237,8,0,0,3,2255,1911,7426,38,2,3,1,415,1117,733,964,311,5753,5389,421,764,355,375,832,1008,752,711,413,122,377,707,334,350,798,923,687,710,367,136,798,1471,689,725,1630,1931,1439,1421,780,258
Residential,1,BRA,BRAESIDE,SOUTH,BUILT-OUT,1960s/1970s,2016,,5985,2555,515,0,3212,1900,875,494,1443,394,112,71,535,1401,76,0,160,900,0,18,0,0,0,0,0,0,0,0,152,107,264,8,0,0,0,10,1,16,2,0,6,1,72,47,133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,512,1898,26,0,0,1,1381,1233,3674,18,0,1,0,570,995,457,425,41,2953,3032,213,281,142,200,472,481,406,359,260,139,222,291,133,149,475,464,422,408,318,150,435,572,275,349,947,945,828,767,578,289
