CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,BUILT-OUT,1950s,2016,,2107,926,152,0,1149,544,287,189,549,128,70,18,161,608,135,36,16,56,0,75,0,0,0,0,0,0,0,0,14,1,15,2,0,0,0,63,6,105,5,0,7,0,126,45,284,7,2,0,0,0,0,0,0,0,0,0,31,0,37,5,0,0,0,0,0,0,0,0,0,0,53,0,139,3,0,0,1,587,492,1527,16,4,0,0,207,347,140,170,10,1052,1055,72,100,50,69,163,158,163,159,62,56,57,99,56,85,148,149,152,162,68,79,129,199,106,154,311,307,315,321,130,135
Residential,1,BRT,BRITANNIA,CENTRE,BUILT-OUT,1950s,2016,,717,314,29,0,327,232,129,17,188,27,19,23,57,257,0,0,57,0,0,0,0,0,0,0,0,0,0,1,50,15,74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,217,643,9,8,1,0,64,117,38,67,3,345,372,8,44,26,17,21,31,53,82,44,19,12,45,22,24,21,37,62,76,45,28,20,89,48,41,42,68,115,158,89,47
Residential,1,WHL,WEST HILLHURST,CENTRE,BUILT-OUT,INNER CITY,2016,,6449,3030,581,0,3419,1644,686,374,1550,279,204,96,901,1525,578,28,476,175,0,239,0,7,1,0,0,1,0,2,442,73,561,31,0,1,1,185,15,332,36,0,17,3,545,399,1473,21,7,2,0,0,0,0,0,0,0,0,24,2,41,4,0,0,3,5,1,123,1,0,0,0,158,104,316,16,1,0,4,1405,1050,3603,79,20,17,9,828,945,500,469,22,3216,3233,248,355,132,183,588,608,445,386,173,98,239,300,117,192,586,616,468,382,205,128,487,655,249,375,1174,1224,913,768,378,226
Residential,1,RCK,ROSSCARROCK,WEST,BUILT-OUT,1950s,2016,,3639,1681,249,0,2268,494,335,208,909,246,58,36,432,432,485,1,384,96,0,283,0,0,0,0,0,0,0,0,345,9,699,11,28,0,2,234,10,412,19,1,27,0,461,164,1207,16,2,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,96,33,253,0,0,0,2,410,278,1065,16,2,2,0,388,567,344,226,22,1831,1808,107,219,60,100,387,478,247,153,51,29,89,194,59,108,441,441,216,150,51,59,196,413,119,208,828,919,463,303,102,88
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,BUILT-OUT,1950s,2016,,7458,3837,665,0,4609,1900,913,605,1755,400,257,107,1318,1338,783,64,543,672,0,436,0,0,0,0,0,1,0,3,505,141,780,35,0,0,3,335,27,593,55,2,41,0,697,478,1802,52,32,2,0,0,0,0,0,0,0,0,46,7,86,9,9,9,0,1,0,55,0,0,0,1,605,383,1239,34,32,0,4,1248,864,2903,76,9,1,1,1074,1357,566,412,28,3671,3787,275,298,121,232,935,765,440,345,151,109,313,299,122,257,970,705,420,379,166,156,588,597,243,489,1905,1470,860,724,317,265
Residential,1,CAN,CANYON MEADOWS,SOUTH,BUILT-OUT,1960s/1970s,2016,,7855,3213,487,0,4275,2509,1235,602,1881,592,261,67,412,1957,155,0,333,711,0,57,0,0,0,0,0,0,0,0,326,183,598,7,0,0,1,49,5,96,2,0,5,0,150,65,371,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,494,1407,30,1,0,2,1932,1762,5383,21,1,1,0,615,1303,575,567,77,3937,3918,204,343,233,286,633,583,540,559,397,159,199,363,207,218,615,553,579,573,427,184,403,706,440,504,1248,1136,1119,1132,824,343
Residential,1,AUB,AUBURN BAY,SOUTHEAST,DEVELOPING,BUILDING OUT,2016,,14559,5431,2359,0,7813,3801,2260,869,2378,997,455,194,1407,3498,525,1,677,724,1,4,0,0,0,1,0,0,0,10,230,50,402,191,246,0,0,4,0,8,0,0,0,10,458,331,1181,12,45,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,166,0,0,0,1,689,384,1444,34,0,0,3,3359,3035,11354,73,55,8,1,517,1375,1066,1618,166,7275,7284,925,1241,308,286,1617,1712,720,289,126,51,969,1146,293,307,1844,1556,621,299,151,98,1894,2387,601,593,3461,3268,1341,588,277,149
Residential,1,CHA,CHAPARRAL,SOUTH,DEVELOPING,BUILDING OUT,2016,,13013,4163,1143,0,6520,3788,2030,710,2258,1036,330,170,369,3276,310,0,193,382,0,2,0,0,0,0,0,0,0,0,187,125,282,6,0,0,0,2,0,4,0,0,0,0,307,286,629,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,301,818,11,0,0,1,3249,3076,11280,24,1,1,0,445,1091,802,1603,175,6534,6479,447,1305,579,347,675,1112,1139,548,257,125,463,1180,486,342,741,1215,1063,536,300,153,910,2485,1065,689,1416,2327,2202,1084,557,278
Residual Sub Area,4,02K,02K,NORTH,N/A,UNDEVELOPED,2016,,77,6,2,0,9,3,1,0,3,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,0,5,3,16,0,0,0,1,0,3,0,1,2,37,40,1,3,0,0,3,12,11,6,1,0,1,1,0,1,1,12,11,12,1,0,2,4,0,1,4,24,22,18,2,0
Residential,1,BRE,BRENTWOOD,NORTHWEST,BUILT-OUT,1960s/1970s,2016,,7133,3320,375,0,3463,1753,710,332,1732,400,121,29,1038,1978,0,83,912,260,0,87,0,0,0,0,0,0,0,1,808,126,1319,103,0,0,0,69,14,145,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,105,10,0,0,0,0,0,0,0,0,0,1,199,1,472,59,0,1,1,1900,1611,5092,63,4,10,0,780,1231,482,522,34,3645,3488,170,305,178,503,755,479,398,380,213,264,130,288,170,488,576,421,407,391,254,363,300,593,348,991,1331,900,805,771,467,627
